REGION,REGION_NAME,PERSONAS,VIV_PART,VIV_COL,MATACEP,MATREC,MATIRREC,VPOMP,TOTAL_VIV,P03A_1,P03A_2,P03A_3,P03A_4,P03A_5,P03A_6,P03B_1,P03B_2,P03B_3,P03B_4,P03B_5,P03B_6,P03B_7,P03C_1,P03C_2,P03C_3,P03C_4,P03C_5,P05_1,P05_2,P05_3,P05_4
1,TARAPACÁ,330558,117450,359,70953,15805,3652,92041,117809,27458,43809,11752,6534,837,979,24610,25117,38082,1117,198,1551,415,76291,3580,5804,3098,2083,87091,816,2532,717
2,ANTOFAGASTA,607534,195173,1176,134810,22539,3758,164243,196349,54885,84793,12135,6636,3358,1098,48062,36060,74675,1260,290,1654,305,143033,5727,8293,3155,1781,157936,249,3400,829
3,ATACAMA,286168,120645,449,64304,18157,2450,86333,121094,12521,48297,13012,6917,4281,839,15906,4859,63472,454,128,648,123,72191,3277,4614,3681,1590,78753,984,5247,702
4,COQUIMBO,757586,307844,764,181064,46939,4281,235305,308608,36525,136994,33956,13539,12547,760,53376,11210,167185,1024,66,669,176,199344,7532,13504,9593,3370,214706,7007,8851,2928
5,VALPARAÍSO,1815902,787320,1486,489231,91736,8304,596725,788806,130540,256874,144412,38158,21551,2638,123234,60858,400841,1767,98,5170,454,548697,9251,23347,9579,1228,559549,20114,10338,2491
6,LIBERTADOR BERNARDO O’HIGGINS,914555,353734,579,230506,61327,2501,297188,354313,34803,179246,48455,17964,15227,715,59496,9274,225474,669,29,704,158,257252,13040,14393,9366,1331,282899,8884,2395,1275
7,MAULE,1044950,410434,767,269011,70333,3547,346543,411201,54526,203809,49430,18628,18283,877,50247,8127,284839,829,30,510,171,297876,15076,19006,9737,2475,311029,23102,4012,6338
8,BIOBÍO,2037414,766969,1159,532816,112544,9015,660687,768128,118522,230738,243593,56718,4277,4933,86629,26866,538840,1691,40,2983,384,590953,15826,36855,11132,1927,582540,50787,8374,14966
9,ARAUCANÍA,957224,380373,778,236942,64370,8316,313179,381151,26013,48887,189309,40431,834,6340,24357,6246,278171,697,54,1503,354,279019,8379,17632,4831,1094,243574,32675,13406,21340
10,LOS LAGOS,828708,331886,1034,206353,48186,17177,274806,332920,16330,15964,194404,34145,548,12213,28282,2151,233817,512,20,8258,239,253418,4144,11740,3416,161,220457,30262,3184,19138
11,AYSÉN,103158,44153,568,27100,6159,793,34405,44721,1773,2581,26109,2795,346,658,2600,82,31295,30,5,213,8,30405,761,2473,490,53,30363,700,59,3038
12,MAGALLANES,166533,65023,613,44317,6421,1905,53068,65636,3942,5387,38804,3695,41,1032,7185,758,43329,178,6,1328,18,49401,746,1944,644,30,50416,882,481,1017
13,METROPOLITANA,7112808,2376118,2324,1890498,234036,8385,2163534,2378442,692451,1145482,206185,68346,38367,2483,569478,451070,1115908,4296,186,4143,1072,1991009,48133,81546,20213,2139,2107794,29876,6426,3915
14,LOS RÍOS,384837,153509,467,95130,23835,6478,127066,153976,7073,8394,89431,16644,254,4620,9957,881,112125,243,11,2871,150,116181,1938,6274,1560,96,100465,10870,1234,13585
15,ARICA Y PARINACOTA,226068,75902,299,47095,12389,2759,63318,76201,16754,34535,6202,3922,1005,497,18653,18056,23450,913,156,1162,285,49978,4027,4470,2402,1676,58919,1795,1340,643
